Time,Sun,Mon,Tue,Wed,Thu,Fri,Sat
00:00,37,39,40,40,40,40,38
01:00,39,43,42,43,43,42,41
02:00,42,44,44,44,44,44,43
03:00,43,45,44,44,45,45,44
04:00,43,44,44,44,45,44,44
05:00,41,43,42,42,42,43,42
06:00,39,39,38,38,39,39,39
07:00,37,35,34,34,35,35,36
08:00,36,29,28,28,29,30,35
09:00,34,25,25,25,26,26,33
10:00,32,26,26,26,26,27,30
11:00,31,28,27,27,27,28,28
12:00,30,29,27,27,28,28,27
13:00,31,30,29,29,29,30,28
14:00,31,29,28,28,28,29,28
15:00,30,29,28,28,28,27,27
16:00,29,29,28,28,28,26,26
17:00,28,27,26,26,26,24,25
18:00,26,25,24,24,24,22,25
19:00,26,24,23,23,23,23,25
20:00,28,25,24,24,24,24,27
21:00,30,28,27,27,27,26,28
22:00,32,31,31,31,30,27,30
23:00,35,34,33,33,33,31,33
